,rxn
16397,Cc1csc2nc(-c3ccno3)nc(Cl)c12.NCc1ccc(F)cc1>>Cc1csc2nc(-c3ccno3)nc(NCc3ccc(F)cc3)c12
27070,CC(O)(c1ccc(N2CCN(S(=O)(=O)c3cccs3)C[C@@H]2CN2C3COCC2C(OCc2ccccc2)C3)cc1)C(F)(F)F.CO.ClCCl>>CC(O)(c1ccc(N2CCN(S(=O)(=O)c3cccs3)C[C@@H]2CN2C3COCC2C(O)C3)cc1)C(F)(F)F
23442,CC(=O)O.CC(=O)O[BH-](OC(C)=O)OC(C)=O.CC=O.Cc1cc(NC(=O)c2ccc3c(c2)CCNC3)nn1Cc1cc(Cl)ccc1OCC(C)C.Cl.ClCCl.[Na+]>>CCN1CCc2cc(C(=O)Nc3cc(C)n(Cc4cc(Cl)ccc4OCC(C)C)n3)ccc2C1.Cl
19969,Br.C1CCOC1.CCOC(C)=O.CN(C)C=O.Clc1ccc2cccc(C3=C(Br)SC4=NCCN43)c2c1.[Cl-].[NH4+]>>O=CC1=C(c2cccc3ccc(Cl)cc23)N2CCN=C2S1
44751,CC(C)I.CCN(CC)CC.CO.Nc1cccc2c1CCO2>>CC(C)Nc1cccc2c1CCO2
45465,COc1ccc(C2=NN(C3CCN(C(=O)CCl)CC3)C(=O)C2(C)C)cc1OC.O=C1CCCC(=O)N1>>COc1ccc(C2=NN(C3CCN(C(=O)CN4C(=O)CCCC4=O)CC3)C(=O)C2(C)C)cc1OC
18769,C1CCOC1.CCOCC.CO.COC(=O)c1c2c(cc(C#N)c1OC)CCCC2.Cl.O.O=C([O-])O.[Na+].[Na+].[OH-]>>COc1c(C#N)cc2c(c1C(=O)O)CCCC2
16929,CCOC(=O)C1CC1C=O.CN(C)C=O.[Br-].[H-].[Na+].c1ccc([P+](Cc2ccc(-c3nc4ccccc4o3)cc2)(c2ccccc2)c2ccccc2)cc1>>CCOC(=O)[C@@H]1C[C@H]1/C=C/c1ccc(-c2nc3ccccc3o2)cc1
40989,CC(C)(C)N1C(=O)C(NCCCBr)=C(c2ccccc2)S1(=O)=O.CCCCNCc1ccccc1>>CCCCN(CCCNC1=C(c2ccccc2)S(=O)(=O)N(C(C)(C)C)C1=O)Cc1ccccc1
29926,CCO.C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1CNS(=O)(=O)CCN1C(=O)c2ccccc2C1=O.NN>>C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1CNS(=O)(=O)CCN
28237,B.C1CCOC1.C1CCOC1.CO.O=C1c2ccc(F)c(Br)c2OCCN1Cc1ccccc1>>Fc1ccc2c(c1Br)OCCN(Cc1ccccc1)C2
25220,CO.Cc1n[nH]c(C=Cc2ccccc2)c1-c1ccncc1.[Pd]>>Cc1n[nH]c(CCc2ccccc2)c1-c1ccncc1
49371,CCCCCCCCc1ccc2c(c1)CCN(C(=O)C(F)(F)F)CC2.CO.O.O=C([O-])O.[Na+]>>CCCCCCCCc1ccc2c(c1)CCNCC2
43519,Cc1c(Cl)cccc1S(=O)(=O)Cl.ClCCl.Nc1ccc2ncncc2c1.O=C([O-])O.[Na+].c1ccncc1>>Cc1c(Cl)cccc1S(=O)(=O)Nc1ccc2ncncc2c1
48315,CI.CN(C)C=O.Cc1ncc(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(-c2ccccc2)n1.ClCCl.O>>Cc1ncc(C(=O)N(C)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(-c2ccccc2)n1
32694,C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@@H]3C[C@H](C(=O)N4CCCCC4)C3(C)C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.ClCCl.O=C(OO)c1cccc(Cl)c1>>CC(C)(CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@@H]2[C@H]4[C@H](C5(C)CO5)CC[C@]4(C(=O)N[C@@H]4C[C@H](C(=O)N5CCCCC5)C4(C)C)CC[C@]23C)C1(C)C)C(=O)O
5396,CO.COCOc1cc(CNC(=O)c2cccnc2N)ccc1OCc1ccccc1.Cl.O=C([O-])O.[Na+]>>Nc1ncccc1C(=O)NCc1ccc(OCc2ccccc2)c(O)c1
29973,CC1(N)CCC1.CCN(C(C)C)C(C)C.CCOC(C)=O.CN(C)C=O.CN(C)c1ccncc1.Cc1ccc(C(=O)O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1.F[P-](F)(F)(F)(F)F.c1cnc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1>>Cc1ccc(C(=O)NC2(C)CCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
34961,BrCCCCCBr.O=C(Oc1ccc(Cl)cc1)N1CCCc2cc(O)ccc21>>O=C(Oc1ccc(Cl)cc1)N1CCCc2cc(OCCCCCBr)ccc21
27928,CC(=O)O.CC(C)(C)OC(=O)N1CC2CN(C(=O)c3ccccc3-c3nnc[nH]3)CC2C1.CC(C)(C)OC(=O)N1CC2CNCC2C1.Cc1cc(C)nc(N2CC3CNCC3C2)n1.Cc1ccc(-n2nccn2)c(C(=O)[O-])n1.O=C(O)c1ccccc1-c1nnc[nH]1.[Na+]>>Cc1cc(C)nc(N2CC3CN(C(=O)c4nc(C)ccc4-n4nccn4)CC3C2)n1
36234,BrB(Br)Br.CO.COC(=O)c1ccc(CNCCc2ccccc2OC)cc1.ClCCl>>COC(=O)c1ccc(CNCCc2ccccc2O)cc1
36484,C1CCOC1.C=CCN(CC=C)C(=O)Cl.CCC(C)S(=O)c1nc[nH]n1.CCN(CC)CC.ClCCl>>C=CCN(CC=C)C(=O)n1cnc(S(=O)C(C)CC)n1
15956,CC(C)(C)OC(=O)N1[C@H](C(=O)NCc2cc(Cl)ccc2-n2cnnn2)C[C@@H]2C[C@@H]21.CO.Cl>>O=C(NCc1cc(Cl)ccc1-n1cnnn1)[C@@H]1C[C@@H]2C[C@@H]2N1
31483,CN(C)C(On1nnc2ccccc21)=[N+](C)C.CN(C)C=O.CN1CCOCC1.F[P-](F)(F)(F)(F)F.O=C(N[C@@H](CC1CCCC1)C(=O)NC1CCCNCC1O)c1ccco1.O=C(O)c1ccco1>>O=C(N[C@@H](CC1CCCC1)C(=O)NC1CCCN(C(=O)c2ccco2)CC1O)c1ccco1
4962,CCN(CC)CC.ClCCl.NCC(O)CN.O=S(=O)(Cl)c1ccc(Cl)cc1Cl>>NCC(O)CNS(=O)(=O)c1ccc(Cl)cc1Cl
18622,C1COCCO1.CN(C)C=O.CN(C)CCCCl.Cl.Cl.O=C([O-])[O-].Oc1ccc(-c2nc(CSCCOc3ccccc3)co2)cc1.[K+].[K+]>>CN(C)CCCOc1ccc(-c2nc(CSCCOc3ccccc3)co2)cc1
43132,CCN(C(C)C)C(C)C.CN(C)C=O.N#Cc1ccccc1-c1ccc(CBr)cc1.NC1(C(=O)OCc2ccccc2)CCCC1>>N#Cc1ccccc1-c1ccc(CNC2(C(=O)OCc3ccccc3)CCCC2)cc1
32229,C1CCC2=NCCCN2CC1.CC(C)(C)OC(=O)N1CCC([C@H]2C[C@@H]2CCN)CC1.CN1CCCC1=O.CS(=O)(=O)c1ccc(F)cc1>>CC(C)(C)OC(=O)N1CCC([C@H]2C[C@@H]2CCNc2ccc(S(C)(=O)=O)cc2)CC1
40757,CC(=O)C(Cl)Cc1ccc(C)c(Cl)c1.CCO.COc1cc(NC(N)=S)ccc1-n1cnc(C)c1>>COc1cc(Nc2nc(C)c(Cc3ccc(C)c(Cl)c3)s2)ccc1-n1cnc(C)c1
18593,C1COCCO1.CC(=O)Nc1ccc(Nc2cc(C)nc(N)n2)cn1.CO.Cl.O>>Cc1cc(Nc2ccc(N)nc2)nc(N)n1
45221,C=CCBr.CN(C)C=O.COc1cccc2c1[C@]13CCN[C@H](C2)[C@@H]1CCC(=O)C3.O=C([O-])[O-].[K+].[K+]>>C=CCN1CC[C@]23CC(=O)CC[C@H]2[C@H]1Cc1cccc(OC)c13
37707,CCN(C(C)C)C(C)C.CCN=C=NCCCN(C)C.CN1CCCNCC1.Cl.ClCCl.O=C(O)Cn1nc(-c2ccccc2)c2c(Cl)c(-c3ccccc3)nnc21.[O-][n+]1ccccc1O>>CN1CCCN(C(=O)Cn2nc(-c3ccccc3)c3c(Cl)c(-c4ccccc4)nnc32)CC1
47799,CS(C)=O.O=C(CBr)c1ccccc1.O=C(O)c1cc(O)cc(C(F)(F)F)c1.[H-].[H][H].[Na+]>>O=C(O)c1cc(OCC(=O)c2ccccc2)cc(C(F)(F)F)c1
5794,CCC(=O)Nc1cccc(C2CCNCC2)c1.ClCCCCCSc1ccccc1>>CCC(=O)Nc1cccc(C2CCN(CCCCCSc3ccccc3)CC2)c1
34915,CS(=O)(=O)c1cccc(B(O)O)c1.FC(F)(F)c1cc(-c2ccccc2C(F)(F)F)n(-c2ccc(Br)cc2)n1.O=C([O-])[O-].[K+].[K+]>>CS(=O)(=O)c1cccc(-c2ccc(-n3nc(C(F)(F)F)cc3-c3ccccc3C(F)(F)F)cc2)c1
4252,CC(C)(C)OC(=O)NCCC(=O)O.Nc1ccc([N+](=O)[O-])c(C(=O)O)c1>>CC(C)(C)OC(=O)NCCC(=O)Nc1ccc([N+](=O)[O-])c(C(=O)O)c1
41086,C1CCOC1.CN(C(=O)c1ccccc1)c1cc(Cl)cc(Cl)c1.[Al+3].[H-].[H-].[H-].[H-].[Li+]>>CNc1cc(Cl)cc(Cl)c1
44924,COc1ncc(B(O)O)cn1.Cc1c2n(c3c(Br)cc(F)cc13)CCNC2=O>>COc1ncc(-c2cc(F)cc3c(C)c4n(c23)CCNC4=O)cn1
34035,C.CC(=O)OCc1cc(OCCNC(=O)OC(C)(C)C)c(OCc2ccccc2)cn1.CCO.[Pd]>>CC(=O)OCc1cc(OCCNC(=O)OC(C)(C)C)c(O)cn1
21396,CCC(N)COC.CN1CCCC1=O.ClCCl.Clc1cc(Nc2nccc(-c3ccnc(Cl)c3)n2)ccn1>>CCC(COC)Nc1cc(-c2ccnc(Nc3ccnc(Cl)c3)n2)ccn1
22811,CC(C)O.O.O=C([O-])[O-].O=Cc1ccc(Br)cc1.OB(O)c1ccc(C(F)(F)F)cc1.[Na+].[Na+].[Pd]>>O=Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1
26748,C1CCOC1.CCOC(=O)C(C)(C)ONC(=O)OC(C)(C)C.CCOCC.[AlH4-].[Li+]>>CC(C)(C)OC(=O)NOC(C)(C)CO
17002,CN(C)C=O.COc1ccc2ncc(F)c(CCN3C[C@H](CN)[C@H](O)C3)c2n1.ClCCCl.ClCCl.O=C1COc2ccc(C(=O)O)nc2N1.On1nnc2ccccc21>>COc1ccc2ncc(F)c(CCN3C[C@H](CNC(=O)c4ccc5c(n4)NC(=O)CO5)[C@H](O)C3)c2n1
22004,CO.Cc1nc(C=Cc2nc3ccc(F)cc3c(=O)n2-c2cccnc2C)cs1.O=C[O-].[NH4+].[Pd]>>Cc1nc(CCc2nc3ccc(F)cc3c(=O)n2-c2cccnc2C)cs1
27073,CCOC(=O)c1cn(-c2nc(NC3CCCC3)c3ncn(C4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)nn1.CO.[K+].[OH-]>>O=C(O)c1cn(-c2nc(NC3CCCC3)c3ncn(C4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)nn1
659,C1CCOC1.CC(C)(O)CCN(Cc1ccccc1)Cc1ccccc1.CI.N#N.[Cl-].[H-].[K+].[NH4+]>>COC(C)(C)CCN(Cc1ccccc1)Cc1ccccc1
31205,CC(=O)OC(C)=O.O=C(O)[C@@H]1CCCC[C@H]1C(=O)O>>O=C1OC(=O)[C@@H]2CCCC[C@@H]12
13293,CCO.COc1cc(CC#N)ccc1C.Cl.[Pd]>>COc1cc(CCN)ccc1C
28168,C1COCCO1.CCOC(=O)c1sc(Br)nc1C(C)C.Cc1cc(O)ccc1B1OC(C)(C)C(C)(C)O1.O.O=C([O-])[O-].[K+].[K+]>>CCOC(=O)c1sc(-c2ccc(O)cc2C)nc1C(C)C
4672,CNc1ccc(F)cc1.Cc1ccccc1.ClP(Cl)Cl.O.O=C(O)c1c(O)c2cccc3c2n(c1=O)CCO3.[Na+].[OH-]>>CN(C(=O)c1c(O)c2cccc3c2n(c1=O)CCO3)c1ccc(F)cc1
